date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:44:08	107028/107028	---MCZ	200	added ('OK')	text/html	etag:W/%2259c8fb16-1a214%22	http://dentario-html.themerex.net/home-3.html	C:/My%20Web%20Sites/dentist-website/dentario-html.themerex.net/home-3.html	(from http://dentario-html.themerex.net/)
17:44:08	84872/84872	---MCZ	200	added ('OK')	text/html	etag:W/%2259c8fb17-14b88%22	http://dentario-html.themerex.net/typography.html	C:/My%20Web%20Sites/dentist-website/dentario-html.themerex.net/typography.html	(from http://dentario-html.themerex.net/)
17:44:09	118931/118931	---MCZ	200	added ('OK')	text/html	etag:W/%2259c8fb17-1d093%22	http://dentario-html.themerex.net/shortcodes.html	C:/My%20Web%20Sites/dentist-website/dentario-html.themerex.net/shortcodes.html	(from http://dentario-html.themerex.net/)
17:44:09	42465/42465	---MCZ	200	added ('OK')	text/html	etag:W/%2259c8fb17-a5e1%22	http://dentario-html.themerex.net/pricing.html	C:/My%20Web%20Sites/dentist-website/dentario-html.themerex.net/pricing.html	(from http://dentario-html.themerex.net/)
17:44:09	55442/55442	---MCZ	200	added ('OK')	text/html	etag:W/%2259c8fb17-d892%22	http://dentario-html.themerex.net/support.html	C:/My%20Web%20Sites/dentist-website/dentario-html.themerex.net/support.html	(from http://dentario-html.themerex.net/)
17:44:09	50141/50141	---MCZ	200	added ('OK')	text/html	etag:W/%2259c8fb17-c3dd%22	http://dentario-html.themerex.net/shop.html	C:/My%20Web%20Sites/dentist-website/dentario-html.themerex.net/shop.html	(from http://dentario-html.themerex.net/)
17:44:10	55068/55068	---MCZ	200	added ('OK')	text/html	etag:W/%2259c8fb16-d71c%22	http://dentario-html.themerex.net/faq.html	C:/My%20Web%20Sites/dentist-website/dentario-html.themerex.net/faq.html	(from http://dentario-html.themerex.net/)
17:44:10	35021/35021	---MCZ	200	added ('OK')	text/html	etag:W/%2259c8fb16-88cd%22	http://dentario-html.themerex.net/404.html	C:/My%20Web%20Sites/dentist-website/dentario-html.themerex.net/404.html	(from http://dentario-html.themerex.net/)
17:44:10	57631/57631	---MCZ	200	added ('OK')	text/html	etag:W/%2259c8fb17-e11f%22	http://dentario-html.themerex.net/services.html	C:/My%20Web%20Sites/dentist-website/dentario-html.themerex.net/services.html	(from http://dentario-html.themerex.net/)
17:44:10	47412/47412	---MCZ	200	added ('OK')	text/html	etag:W/%2259c8fb17-b934%22	http://dentario-html.themerex.net/single-service.html	C:/My%20Web%20Sites/dentist-website/dentario-html.themerex.net/single-service.html	(from http://dentario-html.themerex.net/)
17:44:11	54499/54499	---MCZ	200	added ('OK')	text/html	etag:W/%2259c8fb16-d4e3%22	http://dentario-html.themerex.net/about.html	C:/My%20Web%20Sites/dentist-website/dentario-html.themerex.net/about.html	(from http://dentario-html.themerex.net/)
17:44:11	46799/46799	---MCZ	200	added ('OK')	text/html	etag:W/%2259c8fb17-b6cf%22	http://dentario-html.themerex.net/team.html	C:/My%20Web%20Sites/dentist-website/dentario-html.themerex.net/team.html	(from http://dentario-html.themerex.net/)
17:44:11	46314/46314	---MCZ	200	added ('OK')	text/html	etag:W/%2259c8fb17-b4ea%22	http://dentario-html.themerex.net/single-team.html	C:/My%20Web%20Sites/dentist-website/dentario-html.themerex.net/single-team.html	(from http://dentario-html.themerex.net/)
17:44:11	56777/56777	---MCZ	200	added ('OK')	text/html	etag:W/%2259c8fb16-ddc9%22	http://dentario-html.themerex.net/grid.html	C:/My%20Web%20Sites/dentist-website/dentario-html.themerex.net/grid.html	(from http://dentario-html.themerex.net/)
17:44:12	56776/56776	---MCZ	200	added ('OK')	text/html	etag:W/%2259c8fb16-ddc8%22	http://dentario-html.themerex.net/masonry.html	C:/My%20Web%20Sites/dentist-website/dentario-html.themerex.net/masonry.html	(from http://dentario-html.themerex.net/)
17:44:12	57069/57069	---MCZ	200	added ('OK')	text/html	etag:W/%2259c8fb16-deed%22	http://dentario-html.themerex.net/cobbles.html	C:/My%20Web%20Sites/dentist-website/dentario-html.themerex.net/cobbles.html	(from http://dentario-html.themerex.net/)
17:44:12	86059/86059	---MCZ	200	added ('OK')	text/html	etag:W/%2259c8fb17-1502b%22	http://dentario-html.themerex.net/post-formats.html	C:/My%20Web%20Sites/dentist-website/dentario-html.themerex.net/post-formats.html	(from http://dentario-html.themerex.net/)
17:44:12	97286/97286	---MCZ	200	added ('OK')	text/html	etag:W/%2259c8fb16-17c06%22	http://dentario-html.themerex.net/classic.html	C:/My%20Web%20Sites/dentist-website/dentario-html.themerex.net/classic.html	(from http://dentario-html.themerex.net/)
